BS_YR_MON,GB,CT_PRVNC_CD,CT_PRVNC_NM,CT_CNTY_GU_CD,CT_CNTY_GU_NM,ADM_DONG_CD,ADM_DONG_NM,GENDER,AGE_CD,AVG_ICM,AVG_ICM_O70,MED_ICM,CD_CNT,SINCD_CNT,CHKCD_CNT,AVG_SINCD_USE_AMT,AVG_CHKCD_USE_AMT,BAL_CNT,BNK_BAL_CNT,NBNK_BAL_CNT,CRDT_BAL_CNT,HOUS_BAL_CNT,AVG_BAL_AMT,AVG_BNK_BAL_AMT,AVG_NBNK_BAL_AMT,AVG_CRDT_BAL_AMT,AVG_HOUS_BAL_AMT,AVG_SCR,RT_SCR1,RT_SCR2,RT_SCR3
202001,ADM_DONG,47,경상북도,47170,안동시,47170380,임하면,1,50,2900,,2950,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1.00,0
202001,ADM_DONG,26,부산광역시,26320,북구,26320571,만덕제1동,1,50,2767,,2700,2,0,2,0,31,0,0,0,0,0,0,0,0,0,0,5,0,.67,0
202001,ADM_DONG,26,부산광역시,26320,북구,26320571,만덕제1동,1,40,3156,,3050,18,0,18,0,26,0,0,0,0,0,0,0,0,0,0,5,0,1.00,0
202001,ADM_DONG,28,인천광역시,28200,남동구,28200530,간석1동,2,50,2386,,2300,57,22,56,38,34,2,2,0,0,2,2992,2992,0,0,2992,4,.24,.67,0
202001,ADM_DONG,41,경기도,41271,안산시상록구,41271550,본오2동,1,20,2181,,2100,61,17,61,50,107,3,0,3,2,0,1372,0,1372,933,0,5,.22,.74,.04
202001,ADM_DONG,45,전라북도,45130,군산시,45130350,대야면,1,40,2650,,2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1.00,0
202001,ADM_DONG,43,충청북도,43740,영동군,43740335,추풍령면,1,40,2800,,2800,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1.00,0
202001,ADM_DONG,28,인천광역시,28200,남동구,28200530,간석1동,2,20,1953,,2000,68,8,68,23,64,0,0,0,0,0,0,0,0,0,0,5,.08,.88,.01
202001,ADM_DONG,43,충청북도,43150,제천시,43150528,중앙동,1,40,3222,,3000,7,1,7,9,81,0,0,0,0,0,0,0,0,0,0,5,.11,.89,0
202001,ADM_DONG,11,서울특별시,11470,양천구,11470520,목2동,2,40,2619,,2400,48,17,47,88,46,3,2,1,1,0,3205,4048,1519,1519,0,5,.16,.81,0
